Customer,Customer_Latitude,Customer_Longitude,Restaurant,Restaurant_Latitude,Restaurant_Longitude,Customer_Date,Customer_Time,Restaurant_Date,Restaurant_Time
20,12.9698,77.75,4847,12.98720079,77.73697391,2024-01-19,21:51:00,2024-01-19,22:02:00
21,12.9261,77.6221,4420,12.92325708,77.6177809,2024-01-19,19:36:00,2024-01-19,23:08:00
25,13.0206,77.6479,4784,13.02279,77.647922,2024-01-19,21:11:00,2024-01-19,23:17:00
29,13.0158,77.539,2160,13.0186368,77.53124245,2024-01-19,12:27:00,2024-01-19,22:50:00
33,13.0487,77.5923,4170,13.04900666,77.59691734,2024-01-19,19:00:00,2024-01-19,23:12:00
51,13.0626,77.5284,4589,13.04805653,77.50773255,2024-01-19,20:39:00,2024-01-19,23:52:00
54,12.9757,77.5586,3258,12.97855191,77.55327679,2024-01-19,17:55:00,2024-01-19,20:21:00
61,12.8834,77.5486,4278,12.88071635,77.54603483,2024-01-19,12:26:00,2024-01-19,23:02:00
70,12.9847,77.5491,3258,12.97855191,77.55327679,2024-01-19,16:51:00,2024-01-19,20:21:00
